index,date,hair,age,experience,salary,gender,diploma,speciality,score,availability,hired
15942,2012-08-27,chatain,35.0,9.0,43961.0,M,licence,detective,37.89,non,No
958,2012-07-22,blond,45.0,11.0,29958.0,F,licence,forage,43.92,non,No
6162,2012-08-23,brun,45.0,8.0,37226.0,M,master,detective,85.13,oui,No
1566,2014-06-20,brun,40.0,11.0,33410.0,M,licence,detective,82.27,non,Yes
5400,2012-08-28,chatain,35.0,8.0,32240.0,F,master,geologie,84.31,non,No
8402,2014-03-08,blond,47.0,11.0,35726.0,M,licence,geologie,62.64,non,No
12311,2011-02-16,brun,33.0,12.0,37996.0,M,licence,forage,70.45,non,No
8497,2011-08-12,brun,46.0,12.0,36745.0,M,master,geologie,85.44,oui,No
18727,2011-12-29,chatain,50.0,8.0,27467.0,F,doctorat,detective,85.5,oui,No
16876,2010-09-13,brun,49.0,14.0,39013.0,M,licence,geologie,81.28,non,No
665,2010-11-26,brun,35.0,8.0,37154.0,M,,geologie,72.34,non,No
16732,2012-01-19,brun,38.0,11.0,38172.0,F,bac,geologie,61.95,non,No
13050,,chatain,57.0,12.0,35509.0,M,master,detective,62.12,oui,No
9277,2010-05-02,brun,28.0,7.0,32769.0,F,licence,forage,66.96,non,No
10705,2012-08-28,blond,36.0,9.0,32420.0,F,licence,detective,75.87,non,No
18681,2010-08-05,brun,50.0,13.0,33077.0,M,licence,geologie,60.88,non,No
13529,2014-10-12,chatain,31.0,15.0,33815.0,F,doctorat,forage,107.16,oui,No
18052,2013-08-17,blond,37.0,9.0,39414.0,M,licence,geologie,88.01,oui,No
8889,2011-11-06,blond,34.0,8.0,28967.0,F,licence,geologie,92.37,non,No
17339,2012-01-12,blond,35.0,7.0,44307.0,M,licence,detective,58.49,oui,No
8074,2014-09-14,blond,34.0,14.0,35536.0,F,licence,archeologie,70.79,oui,No
9522,2011-11-28,blond,30.0,10.0,27629.0,M,licence,geologie,70.39,non,No
9776,2011-02-01,chatain,35.0,7.0,41985.0,M,licence,geologie,65.67,non,No
13121,2012-09-13,chatain,44.0,6.0,33310.0,F,master,detective,84.77,oui,No
4926,2011-03-15,brun,30.0,10.0,42197.0,F,licence,archeologie,77.08,oui,No
17597,2010-05-02,chatain,36.0,6.0,37347.0,M,master,geologie,82.81,oui,No
16355,2011-10-18,chatain,43.0,7.0,35473.0,F,master,archeologie,109.67,oui,No
9426,2014-03-19,roux,43.0,11.0,38033.0,M,licence,geologie,90.65,oui,Yes
4563,2010-07-26,brun,49.0,10.0,35334.0,F,licence,geologie,64.65,non,Yes
16199,2010-03-18,blond,49.0,11.0,38024.0,F,licence,detective,75.11,non,Yes
8400,2010-07-22,blond,33.0,8.0,37540.0,M,licence,geologie,60.21,non,No
14455,2010-04-24,roux,23.0,9.0,30237.0,M,licence,forage,73.87,non,No
18901,2014-10-01,chatain,45.0,8.0,37547.0,F,master,geologie,79.98,non,Yes
16428,2013-07-07,chatain,39.0,12.0,31817.0,M,master,geologie,76.9,non,No
42,2012-04-28,chatain,25.0,9.0,34640.0,F,master,detective,73.96,non,No
7786,2014-09-28,chatain,40.0,8.0,38019.0,F,licence,forage,61.29,non,No
8788,2013-06-23,chatain,28.0,6.0,38648.0,M,doctorat,forage,92.96,oui,No
14788,2014-02-07,chatain,38.0,8.0,27874.0,M,doctorat,forage,95.27,oui,No
6687,2012-08-27,blond,38.0,14.0,43223.0,M,licence,archeologie,93.65,oui,Yes
12938,2013-03-15,brun,24.0,12.0,35808.0,M,bac,geologie,60.37,non,No
545,2012-05-13,blond,34.0,9.0,30607.0,M,master,geologie,77.32,non,No
8267,2013-10-10,brun,44.0,10.0,45885.0,M,licence,forage,62.4,oui,No
13070,2011-08-03,blond,35.0,4.0,42528.0,M,bac,forage,,non,No
6642,2011-01-01,brun,31.0,12.0,26394.0,F,master,geologie,89.38,non,No
19206,2013-04-20,brun,34.0,9.0,44255.0,M,licence,geologie,47.84,non,No
14859,2014-12-22,chatain,35.0,8.0,34249.0,F,master,geologie,84.21,non,No
13694,2010-07-03,blond,55.0,14.0,38313.0,M,licence,forage,58.62,non,No
1677,2010-09-24,chatain,42.0,15.0,31441.0,F,master,detective,76.85,non,No
18299,2010-09-18,blond,24.0,9.0,29828.0,F,bac,forage,41.83,non,No
2331,2013-01-17,chatain,35.0,12.0,33731.0,M,master,geologie,74.02,non,No
18032,2010-04-12,chatain,39.0,8.0,29506.0,F,master,geologie,85.79,non,No
11954,2012-09-22,brun,37.0,9.0,39131.0,M,licence,geologie,66.99,non,No
12463,2013-11-17,brun,32.0,12.0,36084.0,M,licence,geologie,59.91,non,No
19764,2010-02-04,blond,14.0,5.0,39768.0,M,licence,forage,53.94,non,No
8006,2010-07-18,blond,37.0,10.0,31634.0,M,licence,geologie,71.87,non,No
1565,2010-04-24,brun,50.0,7.0,41747.0,M,licence,forage,39.3,non,No
16097,2012-05-02,roux,25.0,13.0,33266.0,M,licence,geologie,88.61,non,Yes
9047,2010-11-20,blond,35.0,12.0,32525.0,M,master,geologie,87.43,non,No
9397,2011-04-18,chatain,27.0,12.0,31226.0,F,master,forage,106.42,oui,No
13391,2014-03-24,chatain,44.0,9.0,34928.0,F,master,geologie,82.19,non,No
655,2012-08-09,roux,47.0,8.0,36659.0,M,licence,forage,75.78,oui,No
8386,2013-02-18,chatain,35.0,10.0,36503.0,F,doctorat,detective,87.8,oui,No
7831,2014-04-10,brun,35.0,13.0,27171.0,F,licence,geologie,94.27,non,No
10137,2010-11-01,brun,54.0,10.0,39607.0,F,licence,geologie,83.26,non,No
10935,2013-04-02,blond,30.0,7.0,34049.0,F,licence,detective,81.61,non,Yes
18345,2014-04-24,blond,40.0,9.0,36130.0,M,bac,geologie,47.42,non,No
14453,2010-09-09,brun,27.0,11.0,31477.0,M,licence,geologie,52.65,non,No
10325,2010-08-03,blond,44.0,10.0,19959.0,M,master,geologie,88.68,non,No
3101,2014-12-20,brun,40.0,9.0,34835.0,F,master,archeologie,90.94,oui,No
11111,2013-06-19,brun,29.0,13.0,33001.0,F,licence,forage,77.26,non,No
10899,2010-08-28,blond,35.0,9.0,44265.0,M,licence,detective,61.7,oui,No
671,2014-03-09,chatain,38.0,6.0,30691.0,F,master,forage,69.89,non,No
8392,2010-12-05,roux,34.0,10.0,35458.0,F,bac,geologie,81.75,non,No
7224,2012-08-12,blond,47.0,7.0,35907.0,M,licence,geologie,70.79,,No
7429,2012-08-04,chatain,33.0,7.0,34899.0,M,master,detective,57.19,non,Yes
13972,2010-04-12,blond,39.0,7.0,29340.0,M,licence,geologie,45.93,non,No
1484,2014-05-14,brun,33.0,6.0,37697.0,M,master,forage,78.18,oui,No
4629,2014-04-22,brun,39.0,11.0,33208.0,M,doctorat,geologie,93.71,oui,No
7833,2010-02-22,blond,42.0,12.0,34754.0,M,licence,geologie,70.4,non,No
12655,2013-07-28,blond,41.0,11.0,42967.0,M,licence,geologie,78.93,oui,No
1333,2010-05-08,chatain,35.0,7.0,42043.0,F,master,detective,64.37,oui,No
3588,2014-11-09,roux,40.0,6.0,37898.0,M,bac,geologie,35.86,non,No
3474,2012-10-22,chatain,35.0,7.0,37170.0,F,licence,geologie,67.18,non,No
12437,2010-05-05,chatain,33.0,12.0,34953.0,F,doctorat,detective,98.59,oui,No
4263,2012-02-25,blond,38.0,9.0,40571.0,M,master,geologie,85.53,oui,Yes
15081,2012-03-08,blond,23.0,9.0,29327.0,M,master,geologie,78.18,non,Yes
5837,2013-11-03,brun,30.0,10.0,31130.0,F,licence,forage,64.82,non,Yes
7149,2011-07-25,brun,37.0,8.0,30286.0,F,licence,geologie,80.96,non,No
15759,2014-11-17,chatain,29.0,8.0,30862.0,F,master,geologie,57.92,non,No
12553,2011-09-16,chatain,25.0,16.0,,M,master,geologie,59.13,non,No
4673,2012-07-06,roux,33.0,9.0,36733.0,M,bac,geologie,69.16,non,No
18611,2010-07-24,blond,32.0,13.0,30826.0,M,licence,geologie,74.82,non,No
1360,2011-04-05,chatain,48.0,10.0,32985.0,M,doctorat,geologie,72.1,non,No
5616,2011-12-25,brun,43.0,13.0,41291.0,M,licence,geologie,84.17,oui,No
4982,2013-06-08,brun,22.0,6.0,18381.0,M,doctorat,geologie,104.57,non,No
14417,2013-04-23,brun,34.0,5.0,30333.0,M,licence,geologie,63.57,non,No
16520,2011-10-02,blond,36.0,13.0,42036.0,M,licence,geologie,53.62,non,No
4938,2012-08-13,blond,40.0,12.0,37210.0,M,licence,geologie,55.8,non,No
4899,2014-02-27,brun,36.0,10.0,33328.0,F,licence,forage,83.78,non,No
15848,2013-08-08,chatain,28.0,11.0,35588.0,F,master,forage,84.74,oui,No
19555,2011-05-09,blond,37.0,13.0,36078.0,M,licence,geologie,43.84,non,No
15818,2012-11-23,blond,30.0,9.0,29365.0,M,master,geologie,90.03,non,Yes
13770,2012-07-03,blond,39.0,4.0,29160.0,M,master,forage,80.23,oui,No
17930,2013-03-11,blond,35.0,4.0,21533.0,M,master,geologie,111.17,non,No
4732,2011-06-25,chatain,41.0,11.0,32835.0,M,doctorat,geologie,79.85,oui,No
14315,2010-06-23,blond,26.0,10.0,36152.0,F,licence,archeologie,83.99,oui,No
4372,2012-01-12,roux,56.0,11.0,31765.0,M,master,detective,96.65,oui,No
7752,2011-09-03,blond,35.0,11.0,34607.0,F,bac,geologie,77.07,non,No
10371,2011-06-16,chatain,28.0,11.0,33521.0,F,master,detective,85.86,non,No
5104,2012-06-17,blond,23.0,18.0,31081.0,F,licence,detective,,non,No
10458,2010-05-02,chatain,38.0,13.0,36369.0,F,master,detective,108.18,oui,No
18969,2014-03-20,brun,19.0,15.0,29822.0,F,master,detective,94.12,oui,No
69,2012-01-04,chatain,46.0,6.0,42796.0,M,master,archeologie,80.75,oui,No
